Nº da OS;Número de Série;Modelo;CEP;Loja/Localidade;Abertura;Previsão;Finalizado;Descrição;Observação;Status;ocorrência
6506756;BRBST3T0J8;E52645DN;32113-260;Administrativo/ Contagem-MG;24/10/2025;25/10/2025;;Troca de cabos com Defeito;Os Aberta para Técnicos da Região Metropolitana;Finalizada;Feita a troca de cabos de energia
6526966;BRCST680TD;E87760Z;"39400-611	";Loja24 Mangabeiras/ Montes Claros;"03/11/2025	";"06/11/2025	";05/11/2025 / 09:48:00;Falha no Acessório;Display com mancha preta vertical, peço apoio de algum técnico da região sobre essa questão.;Finalizada;Cliente informou que Equipamento apresenta meia tela escura, mas reiniciou o equipamento e não apresentou o erro. Foi feito análise e testes no equipamento funcionando normalmente. O momento da visita não apresentou o erro.
6441919;BRCST680MM;E87760Z;"36088-000	";Loja07/ Juiz de Fora;"30/09/2025	";"03/10/2025	";01/10/2025 /  17:27:00;Atolamento ou encravamento na saída;Visita tecnica realizada equipamento com obstrução, foi feito a remoção dos papeis,cliente acompanhou o serviço executado, impressora funcionando normalmente.;Finalizada;"Visita tecnica realizada equipamento com obstrução, foi feito a remoção dos papeis,cliente acompanhou o serviço executado, impressora funcionando normalmente.
"
6441919;BRBST3T0J5;E52645DN;"32113-260	";Administrativo/ Contagem-MG;"27/10/2025	";"28/10/2025	";17/11/2025; Falha no Acessório;Chip TPM Necessita de Reset;Finalizada;Foi solicitado pelo técnico a placa main da impressora para a substituição.
6540869;BRBST56019;E52645DN;"39400-318	";Loja04 / Dulce Sarmento;"11/11/2025	";"14/11/2025	";12/11/2025 / 10:03:00; Falha no Acessório;Impressão saindo com papeis rasgados, impressora do callcenter. 388801-3609 André Ti;Finalizada;Foi feito a limpeza interna e testes, equipamento Funcionando Normalmente.
6527906;BRBST620RG;E52645DN;"39400-840	";Loja04 / Dulce Sarmento;"04/11/2025	";"07/11/2025	"; 06/11/2025 /14:33:00;Troca de equipamento;Troca de equipamento efetuada com sucesso;Finalizada;Foi feito a substituição da impressora E 52645. Equipamento instalando e produzindo.
6545386;BRCST68077;E87760Z;38050-096;Loja27/ Uberaba;13/11/2025;"16/11/2025	";17/11/2025 / 17:00:00;Atolamento ou encravamento na Bandeja;O cliente relatou que ocorreu um atolamento de papel na bandeja externa, impossibilitando a impressão. Informou também que, ao tentar imprimir cartazes, a impressora puxou seis folhas simultaneamente, ocasionando o atolamento. Solicito o apoio de um técnico para atendimento deste chamado.;Finalizada;Equipamento com atolamento no fusor devido a desgastes. Feito a substituição do fusor, equipamento testado no modo cartaz e A4.
6553096;BRCST68045;E87760Z;38740-014;Loja35/Patrocinio;18/11/2025;"21/11/2025	";19/11/2025 / 11:00:00;Falha de impressão cartaz;O cliente relatou que a impressão dos cartazes está apresentando riscos e manchas. Realizamos testes internos, porém o problema persiste. Solicito apoio técnico para solucionar esta ocorrência.;Finalizada;Necessário a troca dos roletes por desgaste nos mesmo.
6554375;BRCST660F6;E87760Z;35164252;Loja25/Ipating;18/11/2025;"21/11/2025	";19/11/2025 / 21:13:00; Falha no Acessório;Solicito assistência técnica para atualização do firmware da impressora Cartaz da Gerencia. Devido à versão atual, algumas funcionalidades críticas estão inoperantes. Contato: Gerente Fabiano.;Finalizada;Configurações do Equipamento, ajustes dos Drivers de Impressão, Testes foram feito e está tudo Ok.
6554964;BRBST3T0KM;E52645DN;31360-280;Loja20/Serrano;"18/11/2025	";"19/11/2025	";28/11/2025;Uso inadequado/Orçamento;Avaria física pois foi usado acima da especificação do produto.;Finalizada;Placa fonte trocada e o equipamento volto a funcionar normalmente
6577269;BRCST680R3;E87760Z;"38600-436	";Loja 34/ Paracatu;"28/11/2025	";"01/12/2025	";03/12/2025;Atolamento ou encravamento na saída;Atolamento na saida da fusão;Finalizada;Foi realizado a troca da unidade de fusão pelo o técnico e o equipamento se encontra funcionando normalmente
